tag,mapid,name,mobid,lvmin,lvmax,width,height
1,0,おじさん,250,1,1,100,100
,0,おじさん,251,1,1,100,100
,0,おばさん,252,1,1,100,100
,0,おばさん,253,1,1,100,100
,0,青年,255,1,1,100,100
,0,青年,254,1,1,100,100
,0,貴族,264,1,1,100,100
,0,貴族,265,1,1,100,100
,0,貴族の男の子,268,1,1,100,100
,0,貴族の女の子,269,1,1,100,100
,0,木こり,280,1,1,100,100
,0,木こり,281,1,1,100,100
,0,おじいさん,258,1,1,100,100
,0,おばあさん,259,1,1,100,100
,0,ケイルン,285,1,1,100,100
,0,クレンドル,299,1,1,100,100
,0,バルドゥル,251,1,1,100,100
,0,ティアラ,273,1,1,100,100
,0,おじさん,250,1,1,100,100
,0,露店組合試験官,301,1,1,100,100
,0,ブレナン,285,1,1,100,100
,0,マルコム,290,1,1,100,100
,0,コリン,302,1,1,100,100
,0,クゥガ,251,1,1,100,100
,1,シーフ,55,5,10,100,100
,1,毒スパイダー,466,25,30,110,110
,1,ヤングウルフ,186,7,11,70,70
,1,ウルフ,186,12,15,100,100
,1,スパイダー,155,7,11,100,100
,1,野原スパイダー,155,12,15,100,100
,1,森スパイダー,156,15,20,100,100
,1,幼いトランクマン,230,9,13,100,100
,1,トランクマン,232,14,17,100,100
,1,腕利きのシーフ,55,11,14,100,100
,1,熟練したシーフ,56,15,17,100,100
,1,エルフ戦士,90,12,14,100,100
,1,エルフ戦士,91,12,12,100,100
,1,素早いウルフ,186,12,14,100,100
,1,ヤマイヌ,186,15,17,100,100
,2,洞窟狼リーダー,187,17,20,110,110
,2,洞窟狼,186,23,25,100,100
,2,ヴァンパイア,1175,23,25,100,100
,2,下級ヴァンパイア,1175,17,19,100,100
,3,レッドアイ警備犬,187,25,30,110,110
,3,レッドアイ狂信者,62,41,45,110,110
,3,レッドアイ信奉者,60,25,30,100,100
,3,レッドアイ信奉者,60,31,35,100,100
,3,レッドアイ魔法師,1136,31,35,100,100
,3,レッドアイ信奉者,61,29,32,100,100
,4,レッドアイ警備犬,186,35,40,100,100
,4,レッドアイ魔法師,1136,41,45,100,100
,4,レッドアイ所員,81,35,40,100,100
,4,レッドアイ戦闘犬,187,45,50,120,120
,4,レッドアイ所員,81,40,45,100,100
,5,レッドアイ警備犬,186,45,52,100,100
,5,レッドアイ護衛兵,71,47,53,100,100
,5,レッドアイ所員,81,49,54,100,100
,5,レッドアイ幹部,1136,52,55,100,100
,5,ドゥームスフィア,1155,48,55,100,100
,5,イフリィト,237,58,65,80,80
,6,新米鷲戦士,110,10,13,100,100
,6,鷲戦士,110,14,17,100,100
,6,狐ハンター,50,10,13,100,100
,6,狼ハンター,50,14,17,100,100
,6,アーチャー,51,18,21,100,100
,6,ハイアーチャー,51,22,25,100,100
,6,リーチ,171,14,17,100,100
,6,ぴくっこ,171,18,21,100,100
,6,カゲロウの群れ,180,14,17,100,100
,6,羽虫の群れ,180,18,21,100,100
,6,オーガ,135,18,21,100,100
,6,オーガレイジ,135,22,25,100,100
,6,シンク,306,1,1,100,100
,6,オーガベテラン,136,27,30,100,100
,6,ヒュージマゴット,172,23,30,110,110
,6,小さな昆虫の群れ,181,23,26,80,80
,6,大きな昆虫の群れ,181,27,30,100,100
,7,蟲の群れ,180,30,35,110,110
,7,キングクラブ,177,28,33,120,120
,7,ブラックメイジ,66,30,32,100,100
,8,オーガ,135,63,65,90,90
,8,オーガソルジャー,136,60,63,95,95
,8,洞窟スコーピオン,1195,60,64,100,100
,8,ダークヒューマン,52,60,65,100,100
,9,オーガソルジャー,135,65,70,95,95
,9,オーガベテラン,135,67,70,100,100
,9,オーガチーフ,136,68,70,105,105
,9,インベノムテール,1195,65,70,100,100
,9,ワイルドハンター,53,75,80,100,100
,9,ベテランハンター,359,65,70,100,100
,10, 病気のコボルト,105,1,1,100,100
,10,兎ハンター,50,2,2,100,100
,10,コボルト,105,3,5,100,100
,10,リビングデッド,15,8,10,100,100
,10,ゴースト,25,6,10,100,100
,10,錆びた鎧霊,35,3,4,90,90
,10,変色した鎧霊,35,5,6,100,100
,10,レイジゴースト,25,9,10,110,110
,11,病気のコボルト,105,2,4,100,100
,11,コボルト,105,5,7,100,100
,11,下級グレムリン,105,2,4,100,100
,11,グレムリン,105,5,7,100,100
,11,両刀骸骨,5,2,4,100,100
,11,ストラッシュ,258,1,1,100,100
,12,グレムリン,105,5,7,100,100
,12,ファミリア,107,5,7,100,100
,12,ファミリアナイト,107,8,10,105,105
,12,ファミリアロード,108,16,18,120,120
,13,斧骸骨,0,5,8,100,100
,13,リザードマン,115,8,10,100,100
,13,バインダー,310,19,22,110,110
,13,リザードリーダー,425,9,9,100,100
,14,鷲人間,110,11,13,90,90
,14,鷲戦士,111,10,10,100,100
,14,ロトンミイラ,30,15,18,100,100
,14,ミイラ,30,14,14,100,100
,14,ハンター,51,13,15,100,100
,15,骸骨戦士,1,17,21,95,95
,15,骸骨狂戦士,2,20,20,120,120
,15,リザードウォリア,116,21,24,100,100
,15,ミイラ,30,23,24,100,100
,15,マミー,339,20,24,95,95
,15,ルーンアーチャー,360,18,20,85,85
,16,狩人,50,3,5,100,100
,16,ワーム,170,6,8,100,100
,16,スパイクワーム,170,10,15,100,100
,16,リザードウォリア,116,10,15,100,100
,16,リザードマン,115,3,8,100,100
,16,見習鷲戦士,110,5,7,100,100
,16,鷲戦士,110,8,10,100,100
,16,短斧槍兵,70,45,50,100,100
,16,スパイクワーム,170,10,15,100,100
,17,鷲戦士,110,5,8,95,95
,17,スパイダー,155,5,7,100,100
,17,メイジ,67,6,9,100,100
,17,ルーンスパイダー,157,8,9,100,100
,18,シーフ,55,18,24,100,100
,18,斧槍兵,71,23,26,100,100
,18,デススティック,1195,27,33,75,75
,19,ローグ,57,30,36,100,100
,19,コートナイト,71,35,41,100,100
,19,フーフー,201,34,37,100,100
,19,エリートナイト,71,43,45,100,100
,19,インベノムテール,1195,40,41,100,100
,19,超フーフー,202,53,55,80,80
,20,ブレイジャー,202,56,58,100,100
,20,シャドウ,57,60,62,95,95
,21,中型骸骨,10,60,65,95,95
,21,大型骸骨,10,66,70,100,100
,21,ミイラ,30,66,70,100,100
,21,オーク,85,68,70,100,100
,21,ディムジェスター,1115,60,64,100,100
,21,イビルスナイパー,52,64,67,90,90
,21,スナイパー,53,78,80,100,100
,22,巨人骸骨,11,70,75,100,100
,22,骸骨見習騎士,11,76,80,100,100
,22,ジャイアント,85,70,75,100,100
,22,タフジャイアント,394,76,80,100,100
,22,リプリートマーキ,1146,70,80,100,100
,22,ハイジャイアント,86,86,90,110,110
,23,骸骨見習騎士,12,80,85,90,90
,23,骸骨騎士,12,86,90,100,100
,23,キクロップス,394,83,86,90,90
,23,キアンクロップス,86,87,90,100,100
,23,シャドウス,1151,80,90,100,100
,23,シャドウソウル,802,90,100,110,110
,24,新米狩人,50,1,2,90,90
,24,狩人,50,3,5,100,100
,24,青亀,150,1,1,50,50
,24,ワニ亀,150,17,19,90,90
,24,ニックス,225,7,9,100,100
,24,バトルニックス,225,10,12,100,100
,24,変異スコーピオン,160,7,9,90,90
,24,大型スコーピオン,160,10,12,100,100
,24,ベテラン狩人,50,8,9,100,100
,24,スッポン,150,4,6,95,95
,25,淡水亀,1165,20,20,100,100
,25,飛海月,1203,15,15,100,100
,25,オクトパストン,1221,16,17,100,100
,25,リザードマン,115,18,19,100,100
,25,ゴースト,1116,15,20,75,75
,26,クラブシェル,175,25,28,100,100
,26,メロウ,1252,29,30,100,100
,26,リザードウォリア,116,30,32,100,100
,26,イリュージョン,1117,17,21,100,100
,26,マレラ,291,1,1,100,100
,26,ピランデルス,290,1,1,100,100
,27,牢屋の番人,291,1,1,100,100
,28,魔法使い,299,1,1,100,100
,28,商人,281,1,1,100,100
,28,クエストBugTest,292,1,1,100,100
,28,MainQuest後半部,293,1,1,100,100
,28,数値チェックお嬢,256,1,1,100,100
,28,称号01,290,1,1,100,100
,28,称号02,285,1,1,100,100
,28,称号03,291,1,1,100,100
,29,シーフ,55,16,18,100,100
,29,懸賞金ハンター,50,16,20,100,100
,29,ベテランシーフ,55,19,20,100,100
,29,変装したシーフ,50,18,20,100,100
,29,スコーピオン,161,18,23,100,100
,29,蟲の群れ,181,18,23,100,100
,30,堕落魔法師,66,25,27,100,100
,30,エクソシスト,76,25,27,100,100
,30,堕落召喚師,80,25,27,100,100
,30,パン,220,25,30,100,100
,30,ストラグラー,65,27,30,100,100
,30,殺人蚊の群れ,182,30,40,100,100
,30,クラブシェル,175,30,40,100,100
,31,山賊,112,33,35,100,100
,31,マジックゴーレム,217,30,32,100,100
,31,山賊手下,52,30,32,100,100
,31,山賊の頭,52,43,45,100,100
,32,シーフ,55,15,20,100,100
,32,コボルト,105,15,20,100,100
,32,コボルトナイト,107,25,30,110,110
,33,ゾンビ,17,35,40,100,100
,33,堕落魔法師,66,35,40,100,100
,33,ゾンビド,17,45,50,110,110
,34,ロバー,56,30,35,100,100
,34,ファミリア,106,30,35,100,100
,34,ジャンキー,21,30,35,100,100
,35,インプ,109,40,40,100,100
,35,アサシン,59,80,95,105,105
,35,アサシンビギナー,58,40,40,100,100
,36,鉱員,282,1,1,100,100
,36,おばさん,253,1,1,100,100
,36,おばさん,252,1,1,100,100
,36,男の子,260,1,1,100,100
,36,女の子,262,1,1,100,100
,36,おじさん,280,1,1,100,100
,36,おじいさん,258,1,1,100,100
,36,おじさん,250,1,1,100,100
,36,おじさん,251,1,1,100,100
,36,おばあさん,259,1,1,100,100
,36,コルナ,303,1,1,100,100
,36,青年,255,1,1,100,100
,36,ハヌスィム,271,1,1,100,100
,36,アルテイン,300,1,1,100,100
,36,シミル,299,1,1,100,100
,36,鉱員,282,1,1,105,95
,36,ビルリト,282,1,1,100,100
,36,フリーマン,302,1,1,100,100
,36,シュコブベック,299,1,1,100,100
,36,ラサリル,291,1,1,100,100
,36,シュコブベック,299,1,1,100,100
,37,洞窟狼,185,35,40,100,100
,37,ロックゴーレム,1241,35,40,100,100
,38,ロックゴーレム,1241,43,45,100,100
,38,ロックゴーレム,1242,40,40,100,100
,41,ブラックメイジ,67,55,60,100,100
