斧骸骨戦士,アンデット,一般1,,,,,,
<img src="">,両手剣(410),鈍器(270),矢(410),足(230),槍投擲機(210),帰還(160),鎌(410),魔弾(410),

攻撃骸骨戦士,アンデット,一般2,,,,,,
<img src="">,両手剣(380),ステッキ(250),盾(380),足(210),槍投擲機(190),帰還(150),鎌(380),

骸骨狂戦士,アンデット,一般3,,,,,,
<img src="">,両手剣(360),鈍器(240),矢(360),足(200),槍投擲機(180),帰還(140),鎌(360),魔弾(240),

死の斧,アンデット,セミ1,,,,,,
<img src="">,両手剣(390),ステッキ(260),盾(390),足(220),槍投擲機(200),帰還(160),鎌(390),

地獄の斧,アンデット,ボス1,,,,,,
<img src="">,両手剣(470),鈍器(310),盾(470),足(260),槍投擲機(240),帰還(190),鎌(470),

両刀骸骨戦士,アンデット,一般1,,,,,,
<img src="">,片手剣(410),弓(270),矢(410),兜・帽子(230),槍投擲機(210),帰還(160),クロー(410),銃(270),魔弾(410),

防御骸骨戦士,アンデット,一般2,,,,,,
<img src="">,片手剣(380),槍(250),弾(380),兜・帽子(210),槍投擲機(190),帰還(150),クロー(380),箒(250),

骸骨剣士,アンデット,一般3,,,,,,
<img src="">,片手剣(360),弓(240),矢(360),兜・帽子(200),槍投擲機(180),帰還(140),クロー(360),銃(240),魔弾(360),

死の双剣士,アンデット,セミ1,,,,,,
<img src="">,片手剣(390),槍(260),鍵(30),兜・帽子(220),槍投擲機(200),帰還(160),クロー(390),箒(260),

地獄の双剣,アンデット,ボス1,,,,,,
<img src="">,片手剣(470),弓(310),鍵(50),兜・帽子(260),槍投擲機(240),帰還(190),クロー(470),銃(310),

大型骸骨,アンデット,一般1,,,,,,
<img src="">,鈍器(410),両手剣(270),弾(410),職業鎧(230),冠(210),能力向上1(160),鎌(270),

巨人骸骨,アンデット,一般2,,,,,,
<img src="">,鈍器(380),牙(250),矢(380),職業鎧(210),指輪(190),能力向上1(150),双剣(250),魔弾(380),

骸骨騎士,アンデット,一般3,,,,,,
<img src="">,鈍器(360),スリング(240),矢(360),職業鎧(200),爪(180),能力向上1(140),魔弾(360),

デスナイト,アンデット,セミ1,,,,,,
<img src="">,鈍器(390),牙(260),弾(390),鎧(220),爪(200),能力向上1(160),双剣(260),

地獄の騎士,アンデット,ボス1,,,,,,
<img src="">,鈍器(470),ステッキ(310),矢(470),鎧(260),爪(240),能力向上1(190),魔弾(470),

リビングデッド,アンデット,一般1,,,,,,
<img src="">,投擲(410),牙(270),イベント(410),腰(230),爪(210),帰還(160),双剣(270),

グール,アンデット,一般2,,,,,,
<img src="">,投擲(380),スリング(250),イベント(380),足(210),爪(190),帰還(150),

ゾンビ,アンデット,一般3,,,,,,
<img src="">,投擲(360),牙(240),イベント(360),兜・帽子(200),爪(180),帰還(140),双剣(240),

スプーク,アンデット,セミ1,,,,,,
<img src="">,投擲(390),スリング(260),状態異常回復1(390),腰(220),爪(200),帰還(160),

デスピンサー,アンデット,ボス1,,,,,,
<img src="">,投擲(470),牙(310),状態異常回復1(470),鎧(260),爪(240),帰還(190),双剣(310),

スリップワーカー,アンデット,一般1,,,,,,
<img src="">,スリング(410),ステッキ(270),弾(410),兜・帽子(230),首(210),ブローチ(120),

ルナティック,アンデット,一般2,,,,,,
<img src="">,スリング(380),ステッキ(250),弾(380),足(210),首(190),ブローチ(130),

プレーガー,アンデット,一般3,,,,,,
<img src="">,スリング(360),ステッキ(240),弾(360),腰(200),首(180),ブローチ(140),

ジャンキー,アンデット,セミ1,,,,,,
<img src="">,スリング(390),ステッキ(260),鍵(30),兜・帽子(220),イヤリング(200),ブローチ(150),

アライブコープス,アンデット,ボス1,,,,,,
<img src="">,スリング(470),ステッキ(310),鍵(50),足(260),首(240),ブローチ(160),

ゴースト,アンデット,一般1,,,,,,
<img src="">,笛(410),翼(10),鍵(10),マント(230),イヤリング(210),ブローチ(150),水晶(410),

イリュージョン,アンデット,一般2,,,,,,
<img src="">,笛(380),翼(250),矢(380),マント(210),イヤリング(190),ブローチ(160),水晶(380),魔弾(380),

ファントム,アンデット,一般3,,,,,,
<img src="">,笛(360),翼(240),矢(360),マント(200),イヤリング(180),ブローチ(170),水晶(240),魔弾(360),

バンシー,アンデット,セミ1,,,,,,
<img src="">,笛(390),翼(260),イベント(390),マント(220),イヤリング(200),ブローチ(180),水晶(260),

幻影,アンデット,ボス1,,,,,,
<img src="">,笛(470),翼(310),鍵(470),マント(260),イヤリング(240),ブローチ(190),水晶(310),

ミイラ,アンデット,一般2,,,,,,
<img src="">,槍(380),杖(250),状態異常回復1(380),腰(210),手首(190),能力向上2(150),本(250),箒(380),

包帯人間,アンデット,一般3,,,,,,
<img src="">,槍(360),杖(240),矢(360),腰(200),手首(180),能力向上2(140),本(240),箒(360),魔弾(360),

エンバームド,アンデット,一般4,,,,,,
<img src="">,槍(300),鞭(200),状態異常回復1(300),腰(170),手首(150),能力向上2(120),箒(300),

マミー,アンデット,セミ1,,,,,,
<img src="">,槍(390),杖(260),状態異常回復1(390),腰(220),手首(200),能力向上2(160),本(260),箒(390),

マミーキング,アンデット,ボス1,,,,,,
<img src="">,槍(470),鞭(310),状態異常回復1(470),腰(260),手首(240),能力向上2(190),箒(470),

リビングメイル,アンデット,一般2,,,,,,
<img src="">,弓(380),片手剣(250),盾(380),鎧(210),手首(190),能力向上1(150),クロー(250),銃(380),

鎧霊,アンデット,一般3,,,,,,
<img src="">,弓(360),片手剣(240),弾(360),鎧(200),首(180),能力向上1(140),クロー(240),銃(360),

幽霊鎧,アンデット,一般4,,,,,,
<img src="">,弓(300),両手剣(200),盾(300),鎧(170),手首(150),能力向上1(120),鎌(200),銃(300),

守護鎧,アンデット,セミ1,,,,,,
<img src="">,弓(390),片手剣(260),盾(390),鎧(220),首(200),能力向上1(160),クロー(260),銃(390),

幻想鎧,アンデット,ボス1,,,,,,
<img src="">,弓(470),両手剣(310),盾(470),鎧(260),手首(240),能力向上2(190),鎌(310),銃(470),

ヴァンパイア,アンデット,一般3,,,,,,
<img src="">,鞭(360),牙(240),イベント(360),職業鎧(200),指輪(180),特殊1(140),双剣(240),

上級ヴァンパイア,アンデット,一般4,,,,,,
<img src="">,鞭(390),笛(260),イベント(390),職業鎧(220),指輪(200),特殊1(160),

古代ヴァンパイア,アンデット,セミ1,,,,,,
<img src="">,鞭(420),牙(280),弾(420),職業鎧(230),指輪(210),特殊1(170),双剣(280),

ドラキュラ,アンデット,セミ2,,,,,,
<img src="">,鞭(470),笛(310),CP回復(470),職業鎧(260),指輪(240),特殊1(190),

ノースフェラトゥ,アンデット,ボス1,,,,,,
<img src="">,鞭(490),牙(330),HP回復(490),職業鎧(270),指輪(250),特殊1(200),双剣(330),

死霊魔術師,アンデット,セミ1,,,,,,
<img src="">,杖(390),翼(260),イベント(390),グローブ(220),冠(200),ブローチ(200),本(390),水晶(260),

レイス,アンデット,セミ2,,,,,,
<img src="">,杖(420),翼(280),状態異常回復1(420),グローブ(230),冠(210),ブローチ(250),本(420),水晶(280),

ワイト,アンデット,セミ3,,,,,,
<img src="">,杖(450),投擲(300),CP回復(450),グローブ(250),冠(230),ブローチ(300),本(450),

リッチ,アンデット,ボス2,,,,,,
<img src="">,杖(490),翼(330),HP回復(490),グローブ(270),冠(250),ブローチ(400),本(490),水晶(330),

アークリッチ,アンデット,ボス3,,,,,,
<img src="">,杖(510),投擲(340),状態異常回復2(130),グローブ(280),冠(260),ブローチ(500),本(510),

ハンター,人間,一般1,,,,,,
<img src="">,弓(410),片手剣(270),矢(410),グローブ(230),手首(210),腕刺青(150),クロー(270),銃(410),魔弾(410),

アーチャー,人間,一般2,,,,,,
<img src="">,弓(380),片手剣(250),矢(380),グローブ(210),手首(190),腕刺青(160),クロー(250),銃(380),魔弾(380),

シューター,人間,一般3,,,,,,
<img src="">,弓(360),片手剣(240),矢(360),グローブ(200),手首(180),腕刺青(170),クロー(240),銃(360),魔弾(360),

スナイパー,人間,セミ1,,,,,,
<img src="">,弓(390),片手剣(260),矢(390),グローブ(220),手首(200),腕刺青(180),クロー(260),銃(390),魔弾(390),

ブラックエルフ,人間,ボス1,,,,,,
<img src="">,弓(470),片手剣(310),イベント(470),グローブ(260),手首(240),腕刺青(190),クロー(310),銃(470),

シーフ,人間,一般1,,,,,,
<img src="">,投擲(410),ステッキ(270),イベント(410),職業鎧(230),指輪(210),特殊1(160),

ローグ,人間,一般2,,,,,,
<img src="">,投擲(380),ステッキ(250),鍵(10),職業鎧(210),爪(190),特殊1(150),

スナッチャー,人間,一般3,,,,,,
<img src="">,投擲(360),ステッキ(140),鍵(30),職業鎧(200),爪(180),特殊1(140),

ロバー,人間,セミ1,,,,,,
<img src="">,投擲(390),ステッキ(260),弾(390),職業鎧(220),爪(200),特殊1(160),

アサシン,人間,セミ2,,,,,,
<img src="">,投擲(420),ステッキ(280),矢(420),職業鎧(230),爪(210),特殊1(170),魔弾(420),

レッドアイ信奉者,人間,一般1,,,,,,
<img src="">,笛(410),牙(270),イベント(410),鎧(230),槍投擲機(210),十字架(50),双剣(270),

原人,人間,一般2,,,,,,
<img src="">,笛(380),牙(250),イベント(380),グローブ(210),槍投擲機(190),十字架(60),双剣(250),

原始人,人間,一般3,,,,,,
<img src="">,笛(360),牙(240),状態異常回復1(360),足(200),槍投擲機(180),十字架(70),双剣(240),

イーター,人間,セミ1,,,,,,
<img src="">,笛(390),牙(260),状態異常回復1(390),グローブ(220),槍投擲機(200),十字架(80),双剣(260),

呪術者,人間,ボス1,,,,,,
<img src="">,笛(470),牙(310),状態異常回復1(470),足(260),槍投擲機(240),十字架(90),双剣(310),

ストラグラー,人間,一般1,,,,,,
<img src="">,杖(410),スリング(270),弾(410),腰(230),首(210),能力向上2(160),本(410),

堕落魔法師,人間,一般3,,,,,,
<img src="">,杖(360),スリング(240),イベント(360),マント(200),首(180),能力向上2(140),本(360),

ブラックメイジ,人間,一般4,,,,,,
<img src="">,杖(300),スリング(200),弾(300),グローブ(170),爪(150),宝石(120),本(300),

ソーサラー,人間,セミ1,,,,,,
<img src="">,杖(390),スリング(260),状態異常回復2(100),職業鎧(220),首(200),能力向上2(160),本(390),

ドゥームキャスター,人間,ボス1,,,,,,
<img src="">,杖(470),スリング(310),弾(470),兜・帽子(260),首(240),能力向上2(190),本(470),

斧槍兵,人間,一般2,,,,,,
<img src="">,槍(380),両手剣(250),状態異常回復1(380),鎧(210),手首(190),十字架(120),鎌(250),箒(380),

コートナイト,人間,一般3,,,,,,
<img src="">,槍(360),両手剣(240),イベント(360),兜・帽子(200),手首(180),十字架(130),鎌(240),箒(360),

レッドアイ護衛兵,人間,一般4,,,,,,
<img src="">,槍(300),両手剣(200),鍵(20),鎧(170),手首(150),十字架(140),鎌(200),箒(300),

テンプラー,人間,セミ2,,,,,,
<img src="">,槍(420),両手剣(280),鍵(30),兜・帽子(230),手首(210),十字架(150),鎌(280),箒(420),

アベンジャー,人間,ボス2,,,,,,
<img src="">,槍(490),両手剣(330),矢(490),鎧(270),手首(250),十字架(160),鎌(330),箒(490),魔弾(490),

偽伝道師,人間,一般2,,,,,,
<img src="">,鈍器(380),翼(250),盾(380),職業鎧(210),冠(190),十字架(180),水晶(250),

エクソシスト,人間,一般3,,,,,,
<img src="">,鈍器(360),翼(240),状態異常回復2(90),職業鎧(200),冠(180),十字架(190),水晶(240),

偽聖職者,人間,一般4,,,,,,
<img src="">,鈍器(300),翼(200),盾(300),職業鎧(170),首(150),十字架(200),水晶(200),

ダークプリースト,人間,セミ2,,,,,,
<img src="">,鈍器(420),翼(280),状態異常回復2(110),職業鎧(230),首(210),十字架(210),水晶(280),

ダークビショップ,人間,ボス2,,,,,,
<img src="">,鈍器(490),翼(330),盾(490),兜・帽子(270),首(250),十字架(220),水晶(330),

ダークサマナー,人間,一般2,,,,,,
<img src="">,鞭(380),投擲(250),弾(380),腰(210),イヤリング(190),肩刺青(110),

レッドアイ所員,人間,一般3,,,,,,
<img src="">,鞭(360),投擲(240),弾(360),腰(200),イヤリング(180),肩刺青(120),

デビルスカラー,人間,一般4,,,,,,
<img src="">,鞭(300),牙(200),CP回復(300),腰(170),イヤリング(150),肩刺青(130),双剣(200),

降神術師,人間,セミ2,,,,,,
<img src="">,鞭(420),スリング(280),弾(420),腰(230),イヤリング(210),肩刺青(140),

堕落予言者,人間,ボス1,,,,,,
<img src="">,鞭(470),投擲(310),CP回復(470),腰(260),イヤリング(240),肩刺青(150),

オーク,人間,一般3,,,,,,
<img src="">,鈍器(360),牙(240),弾(360),足(200),冠(180),帰還(140),双剣(240),

ジャイアント,人間,セミ1,,,,,,
<img src="">,鈍器(390),牙(260),HP回復(390),足(220),首(200),能力向上1(160),双剣(260),

キクロップス,人間,セミ1,,,,,,
<img src="">,スリング(390),杖(260),弾(390),足(220),爪(200),帰還(160),本(260),

コロッサス,人間,ボス1,,,,,,
<img src="">,鈍器(470),牙(310),HP回復(470),足(260),指輪(240),能力向上1(190),双剣(310),

チタン,人間,ボス1,,,,,,
<img src="">,スリング(470),杖(310),弾(470),足(260),冠(240),帰還(190),本(310),

