斧骸骨戦士,,,,,,,,
,両手剣(410),鈍器(270),矢(410),足(230),槍投擲機(210),帰還(160),鎌(410),魔弾(410),

攻撃骸骨戦士,,,,,,,,
,両手剣(380),ステッキ(250),盾(380),足(210),槍投擲機(190),帰還(150),鎌(380),

骸骨狂戦士,,,,,,,,
,両手剣(360),鈍器(240),矢(360),足(200),槍投擲機(180),帰還(140),鎌(360),魔弾(240),

死の斧,,,,,,,,
,両手剣(390),ステッキ(260),盾(390),足(220),槍投擲機(200),帰還(160),鎌(390),

地獄の斧,,,,,,,,
,両手剣(470),鈍器(310),盾(470),足(260),槍投擲機(240),帰還(190),鎌(470),

両刀骸骨戦士,,,,,,,,
,片手剣(410),弓(270),矢(410),兜・帽子(230),槍投擲機(210),帰還(160),クロー(410),銃(270),魔弾(410),

防御骸骨戦士,,,,,,,,
,片手剣(380),槍(250),弾(380),兜・帽子(210),槍投擲機(190),帰還(150),クロー(380),箒(250),

骸骨剣士,,,,,,,,
,片手剣(360),弓(240),矢(360),兜・帽子(200),槍投擲機(180),帰還(140),クロー(360),銃(240),魔弾(360),

死の双剣士,,,,,,,,
,片手剣(390),槍(260),鍵(30),兜・帽子(220),槍投擲機(200),帰還(160),クロー(390),箒(260),

地獄の双剣,,,,,,,,
,片手剣(470),弓(310),鍵(50),兜・帽子(260),槍投擲機(240),帰還(190),クロー(470),銃(310),

大型骸骨,,,,,,,,
,鈍器(410),両手剣(270),弾(410),職業鎧(230),冠(210),能力向上1(160),鎌(270),

巨人骸骨,,,,,,,,
,鈍器(380),牙(250),矢(380),職業鎧(210),指輪(190),能力向上1(150),双剣(250),魔弾(380),

骸骨騎士,,,,,,,,
,鈍器(360),スリング(240),矢(360),職業鎧(200),爪(180),能力向上1(140),魔弾(360),

デスナイト,,,,,,,,
,鈍器(390),牙(260),弾(390),鎧(220),爪(200),能力向上1(160),双剣(260),

地獄の騎士,,,,,,,,
,鈍器(470),ステッキ(310),矢(470),鎧(260),爪(240),能力向上1(190),魔弾(470),

リビングデッド,,,,,,,,
,投擲(410),牙(270),イベント(410),腰(230),爪(210),帰還(160),双剣(270),

グール,,,,,,,,
,投擲(380),スリング(250),イベント(380),足(210),爪(190),帰還(150),

ゾンビ,,,,,,,,
,投擲(360),牙(240),イベント(360),兜・帽子(200),爪(180),帰還(140),双剣(240),

スプーク,,,,,,,,
,投擲(390),スリング(260),状態異常回復1(390),腰(220),爪(200),帰還(160),

デスピンサー,,,,,,,,
,投擲(470),牙(310),状態異常回復1(470),鎧(260),爪(240),帰還(190),双剣(310),

スリップワーカー,,,,,,,,
,スリング(410),ステッキ(270),弾(410),兜・帽子(230),首(210),ブローチ(120),

ルナティック,,,,,,,,
,スリング(380),ステッキ(250),弾(380),足(210),首(190),ブローチ(130),

プレーガー,,,,,,,,
,スリング(360),ステッキ(240),弾(360),腰(200),首(180),ブローチ(140),

ジャンキー,,,,,,,,
,スリング(390),ステッキ(260),鍵(30),兜・帽子(220),イヤリング(200),ブローチ(150),

アライブコープス,,,,,,,,
,スリング(470),ステッキ(310),鍵(50),足(260),首(240),ブローチ(160),

ゴースト,,,,,,,,
,笛(410),翼(10),鍵(10),マント(230),イヤリング(210),ブローチ(150),水晶(410),

イリュージョン,,,,,,,,
,笛(380),翼(250),矢(380),マント(210),イヤリング(190),ブローチ(160),水晶(380),魔弾(380),

ファントム,,,,,,,,
