"id","name","EffectId","EffectId_1","EffectId_2","unknown_3","unknown_4","unknown_5","unknown_6","Species","StatusFactor","AtcMinValueBonus","AtcMaxValueBonus","DefenseValueBonus","MovSpeed","AtcSpeed","unknown_14","unknown_15","unknown_16","unknown_17","Blocking","unknown_19","unknown_20","Lineage","Resistance13","Resistance14","DefaultExp","unknown_26","unknown_27","unknown_28","unknown_29","unknown_30","unknown_31","unknown_32","unknown_33","unknown_34","unknown_35","unknown_36","unknown_37","unknown_38","unknown_39","unknown_40","unknown_41","unknown_42","unknown_43","unknown_44","unknown_45","unknown_46","unknown_47","unknown_48","unknown_49","unknown_50","unknown_51","unknown_52","unknown_53","unknown_54","unknown_55","unknown_56","unknown_57","unknown_58","unknown_59","unknown_60","unknown_61","unknown_62","unknown_63","unknown_64","unknown_65","unknown_66","unknown_67","unknown_68","unknown_69","unknown_70","unknown_71","unknown_72","unknown_73","unknown_74","unknown_75","unknown_76","unknown_77","unknown_78","unknown_79","unknown_80","unknown_81","unknown_82","unknown_83","unknown_84","unknown_85","unknown_86","unknown_87","unknown_88","unknown_89","unknown_90","unknown_91","unknown_92","unknown_93","unknown_94","unknown_95","unknown_96","unknown_97","unknown_98","unknown_99","unknown_100","unknown_101","unknown_102","unknown_103","unknown_104","unknown_105","unknown_106","unknown_107","DefaultHP","unknown_109","unknown_110","unknown_111","unknown_112","unknown_113","LevelUpBonus","ConditionBonus","STR","AGI","CON","INT","WIS","CHS","LUC","ActiveRange","AtcMinValue","AtcMaxValue","DefenseValue","unknown_127","FireResistance","WaterResistance","WindResistance","EarthResistance","LightResistance","DarkResistance","Resistance1","Resistance2","Resistance3","Resistance4","Resistance5","Resistance6","Resistance7","Resistance8","Resistance9","Resistance10","Resistance11","Resistance12","unknown_146","unknown_147","unknown_148","unknown_149","unknown_150","unknown_151","unknown_152","unknown_153","unknown_154","unknown_155","unknown_156","unknown_157","unknown_158","unknown_159","unknown_160","unknown_161","unknown_162","unknown_163","unknown_164","unknown_165","unknown_166","unknown_167","unknown_168","unknown_169","unknown_170","unknown_171","unknown_172","unknown_173","unknown_174","unknown_175","unknown_176","unknown_177","unknown_178","unknown_179","unknown_180","unknown_181","unknown_182","unknown_183","unknown_184","unknown_185","unknown_186","unknown_187","unknown_188","unknown_189","unknown_190","unknown_191","unknown_192","unknown_193","unknown_194","unknown_195","unknown_196","unknown_197","unknown_198","unknown_199","unknown_200","unknown_201","unknown_202","unknown_203","unknown_204","unknown_205","unknown_206","unknown_207","unknown_208","unknown_209","unknown_210","unknown_211","unknown_212","unknown_213","unknown_214","unknown_215","unknown_216","unknown_217","unknown_218","unknown_219","unknown_220","unknown_221","unknown_222","unknown_223","unknown_224","unknown_225","unknown_226","unknown_227","unknown_228","unknown_229","unknown_230","unknown_231","unknown_232","unknown_233","unknown_234","unknown_235","unknown_236","unknown_237","unknown_238","unknown_239","unknown_240","unknown_241","unknown_242","unknown_243","unknown_244","unknown_245","unknown_246","unknown_247","unknown_248","unknown_249","unknown_250","unknown_251","unknown_252","unknown_253","unknown_254","unknown_255","unknown_256","unknown_257","unknown_258","unknown_259","unknown_260","unknown_261","unknown_262","unknown_263","unknown_264","unknown_265","unknown_266","unknown_267","unknown_268","unknown_269","unknown_270","unknown_271","unknown_272","unknown_273","unknown_274","unknown_275","unknown_276","unknown_277","unknown_278","unknown_279","unknown_280","unknown_281","unknown_282","unknown_283","unknown_284","unknown_285","unknown_286","unknown_287","unknown_288","unknown_289","unknown_290","unknown_291","unknown_292","unknown_293","unknown_294","unknown_295","unknown_296","unknown_297","unknown_298","unknown_299","unknown_300","unknown_301","unknown_302","unknown_303","unknown_304","unknown_305","unknown_306","unknown_307","unknown_308","unknown_309","unknown_310","unknown_311","unknown_312","unknown_313","unknown_314","unknown_315","unknown_316","unknown_317","unknown_318","unknown_319","unknown_320","unknown_321","unknown_322","unknown_323","unknown_324","unknown_325","unknown_326","unknown_327","unknown_328","unknown_329","unknown_330","unknown_331"
"0","斧骸骨戦士","201","0","0","3","0","0","1","0","9318","9","15","10","100","170","0","0","0","0","0","200","2","0","0","1","60","1","50","33","20","1","410","0","23","1","270","0","27","1","410","0","7","1","230","0","3","1","210","0","42","1","160","0","54","1","410","0","64","1","410","0","66","1","100","0","68","1","410","0","500","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","1000","100","100","100","100","100","100","100","100","100","200","1","0","0","0","0","0","2800","0","2800","0","100","0","200","0","40","10","15","11","9","5","5","1","0","300","5","7","0","-50","0","0","0","0","0","1","10","5","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","攻撃骸骨戦士","201","0","1","3","0","0","1","0","8431","11","18","10","100","150","0","0","0","0","0","400","2","1","0","3","80","2","50","33","20","1","380","0","32","1","250","0","19","1","380","0","7","1","210","0","3","1","190","0","42","1","150","0","54","1","380","0","66","1","100","0","68","1","380","0","-1","1","100","0","500","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","800","100","100","100","100","100","100","100","100","100","200","10","0","0","0","0","0","3800","0","3800","0","100","0","400","0","50","10","17","12","10","7","5","2","0","300","9","11","1","-50","0","0","0","0","0","1","10","5","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","骸骨狂戦士","201","0","2","3","0","0","1","0","7419","12","20","12","100","140","0","0","0","0","0","600","2","2","1","8","100","2","60","33","20","1","360","0","23","1","240","0","27","1","360","0","7","1","200","0","3","1","180","0","42","1","140","0","54","1","360","0","64","1","240","0","66","1","100","0","68","1","360","0","500","1","513","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","600","480","100","100","100","100","100","100","100","100","200","20","0","0","0","0","0","4800","0","4800","0","100","0","1200","0","60","10","20","13","12","7","7","5","0","300","10","12","3","-50","20","0","0","0","0","5","10","5","0","4","20","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","死の斧","201","0","3","3","0","0","1","0","6593","15","23","16","100","140","0","2","0","0","0","900","1","4","25","75","240","6","100","50","20","1","390","0","32","1","260","0","19","1","390","0","7","1","220","0","3","1","200","0","42","1","160","0","54","1","390","0","66","1","100","0","68","1","390","0","-1","1","100","0","500","1","513","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","500","450","100","100","100","100","100","100","100","100","200","50","0","0","0","0","0","12000","0","12000","0","100","0","3000","0","620","50","26","16","24","7","10","10","0","320","14","16","10","-100","30","1","1","0","1","10","25","5","5","10","40","10","40","20","50","5","0","50","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","地獄の斧","201","0","4","3","0","0","1","0","6000","18","30","20","100","140","2","3","0","0","0","1000","1","7","50","100","1000","16","180","75","20","1","470","0","23","1","310","0","19","1","470","0","7","1","260","0","3","1","240","0","42","1","190","0","54","1","470","0","66","1","100","0","68","1","470","0","-1","1","100","0","500","1","513","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","400","400","100","100","100","100","100","100","100","100","200","70","0","0","0","0","0","46800","0","46800","0","100","0","9000","0","1000","250","35","25","35","14","17","20","6","340","24","26","25","-100","50","1","1","0","1","20","50","5","30","30","100","30","100","80","100","10","30","100","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","両刀骸骨戦士","202","0","2","5","0","0","1","0","9318","3","8","14","130","75","0","0","0","0","0","200","2","0","0","1","60","1","50","33","18","1","410","0","26","1","270","0","27","1","410","0","0","1","230","0","3","1","210","0","42","1","160","0","55","1","410","0","63","1","270","0","64","1","410","0","66","1","100","0","500","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","1000","100","100","100","100","100","100","100","100","100","200","1","0","0","0","0","0","2400","0","2400","0","100","0","400","0","40","10","12","12","8","7","5","2","0","310","4","6","0","-50","0","0","0","0","0","1","10","5","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","防御骸骨戦士","202","0","4","5","0","0","1","0","8431","3","9","14","130","90","0","0","0","0","0","400","2","1","0","3","80","2","50","33","18","1","380","0","28","1","250","0","31","1","380","0","0","1","210","0","3","1","190","0","42","1","150","0","55","1","380","0","57","1","250","0","66","1","100","0","-1","1","100","0","500","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","800","100","100","100","100","100","100","100","100","100","200","10","0","0","0","0","0","3000","0","3000","0","100","0","400","0","50","10","14","14","10","7","6","2","0","310","8","9","2","-50","0","0","0","0","0","1","10","5","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","骸骨剣士","202","0","1","5","0","0","1","0","7541","5","11","14","130","110","0","0","1","0","0","600","2","2","1","8","100","2","60","33","18","1","360","0","26","1","240","0","27","1","360","0","0","1","200","0","3","1","180","0","42","1","140","0","55","1","360","0","63","1","240","0","64","1","360","0","66","1","100","0","500","1","539","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","600","790","100","100","100","100","100","100","100","100","200","20","0","0","0","0","0","3500","0","3500","0","100","0","500","0","60","10","16","16","12","9","8","2","0","310","9","10","5","-50","0","0","20","0","0","15","10","5","0","4","15","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","死の双剣士","202","0","3","5","0","0","1","0","6593","6","12","20","140","90","1","0","1","1","0","900","1","4","25","75","240","6","100","50","18","1","390","0","28","1","260","0","41","1","30","0","0","1","220","0","3","1","200","0","42","1","160","0","55","1","390","0","57","1","260","0","66","1","100","0","-1","1","100","0","500","1","539","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","500","740","100","100","100","100","100","100","100","100","200","50","0","0","0","0","0","6300","0","6300","0","100","0","1500","0","620","50","20","20","18","10","15","5","5","330","13","14","12","-100","1","1","30","0","1","25","25","5","0","10","30","10","20","10","55","5","0","60","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","地獄の双剣","202","0","0","5","0","0","1","0","6000","8","15","24","140","75","3","0","2","1","0","1000","1","7","50","100","1000","16","180","75","18","1","470","0","26","1","310","0","41","1","50","0","0","1","260","0","3","1","240","0","42","1","190","0","55","1","470","0","63","1","310","0","66","1","100","0","-1","1","100","0","500","1","539","1","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","-1","0","400","700","100","100","100","100","100","100","100","100","200","70","0","0","0","0","0","35500","0","35500","0","100","0","6800","0","1000","250","34","34","25","14","20","15","10","350","23","24","27","-100","1","1","50","0","1","40","50","5","30","30","100","30","100","70","100","10","30","100","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
